Title,Rating,Votes,Duration,Genre
A Complete Unknown,7.4,76000,141,biography
I'm Still Here,8.3,105000,137,biography
The Apprentice,7.1,55000,122,biography
Queer,6.4,21000,137,biography
Better Man,7.6,27000,135,biography
Saturday Night,6.9,30000,109,biography
Queen of the Ring,6.9,949,140,biography
Maria,6.4,19000,124,biography
William Tell,5.7,2500,133,biography
One to One: John & Yoko,7.3,327,101,biography
Nr. 24,7.5,15000,111,biography
Bob Marley: One Love,6.2,35000,107,biography
Back to Black,6.3,27000,122,biography
Ordinary Angels,7.4,16000,118,biography
Unfrosted,5.5,35000,97,biography
Reagan,6.1,11000,141,biography
Bonhoeffer: Pastor. Spy. Assassin.,6.2,3600,133,biography
Joy,7.1,9400,115,biography
Young Woman and the Sea,7.5,17000,129,biography
Cabrini,7.3,8800,142,biography
Amaran,8.1,19000,167,biography
Midas Man,6.4,1600,112,biography
The Fire Inside,6.7,2600,109,biography
Piece by Piece,6.9,5500,93,biography
Scoop,6.5,20000,102,biography
Rob Peace,6.5,2100,120,biography
Faith of Angels,5.8,233,98,biography
Harbin,6.3,677,108,biography
Goebbels and the Führer,6.7,2200,135,biography
The Remarkable Life of Ibelin,8.2,12000,103,biography
Monsieur Aznavour,7.3,2400,133,biography
Winner,6.5,2500,103,biography
Being Maria,6.1,613,100,biography
Audrey's Children,7.0,380,110,biography
Inexplicável,7.2,171,116,biography
Super/Man: The Christopher Reeve Story,8.0,9100,104,biography
Maharaj,6.5,15000,131,biography
Oxana,6.5,51,103,biography
Stelios,7.3,1400,132,biography
Fanon,6.8,103,132,biography
Niki,6.0,367,98,biography
Limonov: The Ballad of Eddie,6.0,807,138,biography
Race for Glory: Audi vs. Lancia,5.8,4700,109,biography
"From Hilde, with Love",7.0,935,125,biography
Saint-Exupéry,5.4,336,98,biography
El 47,7.2,3400,110,biography
Chhava,8.5,2200,51,biography
Riefenstahl,7.2,518,115,biography
Boléro,6.6,790,120,biography
Srikanth,7.4,14000,134,biography
Avicii - I'm Tim,7.7,7000,95,biography
Freedom,5.9,1400,110,biography
Shirley,6.2,3300,117,biography
"Sarah Bernhardt, la divine",5.9,214,98,biography
Prodigieuses,6.6,172,101,biography
Blue Road: The Edna O'Brien Story,8.2,64,99,biography
Quisling: The Final Days,7.1,1100,146,biography
Chandu Champion,7.8,34000,142,biography
Drazen,6.6,1300,100,biography
Pavements,7.1,167,128,biography
Music by John Williams,8.2,4800,105,biography
The Firing Squad,5.1,5000,93,biography
Liza: A Truly Terrific Absolutely True Story,7.8,250,104,biography
Bogart: Life Comes in Flashes,6.8,426,99,biography
Maidaan,7.9,23000,181,biography
Biggest Heist Ever,6.1,1500,85,biography
Jim Henson: Idea Man,7.7,3900,111,biography
The Bibi Files,7.5,1100,115,biography
Ravens,8.0,80,117,biography
I Am Nevenka,7.1,1100,112,biography
The Ballad of Davy Crockett,4.6,248,96,biography
Atatürk II: 1881-1919,8.9,2100,141,biography
Janis Ian: Breaking Silence,8.1,58,114,biography
Luther: Never Too Much,8.1,848,101,biography
Amar Singh Chamkila,7.8,16000,145,biography
Ol' Dirty Bastard: A Tale of Two Dirtys,6.7,204,86,biography
Elton John: Never Too Late,6.5,2000,102,biography
Swatantrya Veer Savarkar,7.7,18000,176,biography
Havnaa,7.2,246,110,biography
"Disco, Ibiza, Locomia",6.0,1500,104,biography
Miyazaki: L'Esprit de la Nature,7.1,217,84,biography
Miséria,5.3,101,99,biography
The Great Ambition,7.2,721,123,biography
The Beach Boys,7.1,2100,113,biography
I Am: Celine Dion,7.7,7900,103,biography
Road Diary: Bruce Springsteen and the E Street Band,7.7,995,99,biography
Becoming Madonna,6.9,223,91,biography
Federer: Twelve Final Days,7.3,4100,88,biography
The Shamrock Spitfire,5.2,482,108,biography
Beautiful Rebel,6.3,1000,112,biography
John Cranko,7.1,188,133,biography
La Grande,9.0,40,95,biography
Papa,7.5,327,131,biography
Faye,7.1,3100,91,biography
The World According to Allee Willis,7.7,73,97,biography
Never Look Away,7.2,265,85,biography
Münter & Kandinsky,6.5,97,126,biography
Oscar Wilde About America,4.4,30,98,biography
Gundi: Legend of Love,9.0,5500,166,biography
Taghiev: Oil,9.2,72,120,biography
La casa,6.9,939,83,biography
House of Ga'a,3.9,489,119,biography
The Truth vs. Alex Jones,7.5,3000,121,biography
Nahir,4.7,1100,122,biography
Ae Watan Mere Watan,4.7,1400,133,biography
Lula,5.6,186,90,biography
Hola Frida,7.2,32,82,biography
Vindication Swim,6.0,210,98,biography
Main Atal Hoon,6.9,6300,139,biography
Jenni,6.8,44,113,biography
Cookster: The Darkest Days,8.2,40,119,biography
Sabbath Queen,8.0,66,105,biography
Samia,6.8,138,102,biography
The Sidemen Story,6.7,1700,99,biography
Becoming Hitchcock: The Legacy of Blackmail,7.2,266,72,biography
ZEF: The Story of Die Antwoord,7.3,802,90,biography
Silvio,3.0,515,114,biography
Blood'less' Revolution,6.7,289,103,biography
Diddy: Summit to Plummet,2.3,203,60,biography
National Theatre Live: Nye,8.0,268,160,biography
Marcella,8.9,19,97,biography
Hayatla Baris,6.3,372,125,biography
From Roger Moore with Love,7.4,338,79,biography
The Life and Deaths of Christopher Lee,7.2,447,99,biography
Mit einem Tiger schlafen,6.8,152,107,biography
The Man Who Loved UFOs,5.2,599,107,biography
Nedelja,7.2,1900,130,biography
Giroud,6.1,17,80,biography
Klitschko: More Than a Fight,6.3,508,96,biography
Concepción,8.8,25,140,biography
Stevie Van Zandt: Disciple,7.9,664,147,biography
